CDSSYS,CDS_VEND,,EN
VENDOR_ID,VENDOR_NAME,VENDOR_STATUS,CURRENCY_CODE
LAEAU11,GOODRICH - SYDNEY,I,USD
LAECA11,GOODRICH - Montreal,I,GBP
LAECN11,GOODRICH - Xiamen,I,GBP
LAEDE13,GOODRICH - NEUSS,A,EUR
LAEFR11,LUCAS AEROSPACE FCS PARIS,I,GBP
LAEFR12,LUCAS FRANCE SA,D,GBP
LAEFR13,GOODRICH - Asnieres,D,GBP
LAEFR15,GOODRICH - Vernons,I,GBP
LAEGB11,CONTROLS AND DATA SERVICES,I,GBP
LAEGB12,GOODRICH ACTUATION SYST,I,GBP
LAEGB15,GOODRICH ACTUATION SYSTEMS LTD,I,GBP
LAEGB16,GOODRICH POWER SYSTEMS,I,GBP
LAEGB20,GOODRICH - MARSTON GREEN,A,GBP
LAEGB21,GOODRICH - CSD,I,GBP
LAEGB23,USE LAEGB31 INSTEAD,I,GBP
LAEGB29,CONTROLS & DATA SERVICES,I,GBP
LAEGB30,GOODRICH - HUYTON,A,GBP
LAESG11,GOODRICH - SINGAPORE,I,USD
LAESG12,LUCAS SINGAPORE USD ACC,I,GBP
LAEUS11,LUCAS INDUSTRIES INC,D,GBP
LAEUS13,GOODRICH - Utica,D,GBP
LAEUS15,LUCAS AEROSPACE POWER SYS,I,USD
LAEUS16,GOODRICH - Brea,D,GBP
LAEUS17,GOODRICH - Jamestown,D,GBP
LAEUS23,LUCAS AEROSPACE ENGLEWOOD,I,USD
LAEUS25,GOODRICH - US Spares,I,USD
LAEUS30,GOODRICH - Macon,D,GBP
LCPGB03,TRW HQ - Corporate HQ,D,GBP
LESGB24,TRW AUTOMOTIVE,I,GBP
LESGB25,TRW Lucas Electronics,D,GBP
LTRW001,TRW HQ - COMPANY STAFF US,I,USD
7AAF110,AAF (AMERICAN AIR FILTN),D,GBP
7ABA110,ABACUS POLAR HOLDINGS LTD,D,GBP
7ABA111,ABACUS POLAR PLC,I,GBP
7ABA112,ABACUS POLAR EXPRESS,I,GBP
7ABB111,ABB INSTRUMENTATION LTD,D,GBP
7ABB113,ABBOTT PRESS,D,GBP
7ABB114,Abbey Park Golf and,D,GBP
7ABC110,ABC Workstation Solutions,D,GBP
7ABE111,ABEC TRANSMISSION LTD,D,GBP
7ABI110,ABILITI,D,GBP
7ABS110,Abstract Design & Print,D,GBP
7ABS111,Abstract Hardware Limited,D,GBP
7ACA040,ACAL ELECTRONICS LIMITED,I,GBP
